Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2025-12-13,Aquis Park Gold Coast,1,Ever So Ready,WIN,2.05,Won,2.05,1.05
2025-12-13,Aquis Park Gold Coast,2,Stynsy,WIN,2.50,Won,2.50,1.50
2025-12-13,Aquis Park Gold Coast,3,Vegas Raider,WIN,5.50,Won,5.50,4.50
2025-12-13,Ascot,1,Audio Boy,WIN,13.00,Lost,0.00,-1.00
2025-12-13,Ascot,5,Objectify,WIN,7.50,Lost,0.00,-1.00
2025-12-13,Eagle Farm,1,Special Artist,WIN,8.00,Won,8.00,7.00
2025-12-13,Eagle Farm,3,Dream Roca,WIN,7.50,Won,7.50,6.50
2025-12-13,Eagle Farm,4,Yoyo Yeezy,WIN,2.60,Won,2.60,1.60
2025-12-13,Eagle Farm,8,Tuned,WIN,5.50,Won,5.50,4.50
2025-12-13,Randwick,4,Axius,WIN,3.50,Won,3.50,2.50
2025-12-13,Randwick,5,Internal Affairs,WIN,2.80,Lost,0.00,-1.00
2025-12-13,Randwick,7,Future History,WIN,5.00,Won,5.00,4.00
2025-12-13,Southside Pakenham,1,Milsons Point,WIN,3.60,Won,3.60,2.60
2025-12-13,Sportsbet Gawler,1,Maldivica,WIN,151.00,Lost,0.00,-1.00
2025-12-13,Sportsbet Gawler,6,Costless,WIN,17.00,Lost,0.00,-1.00
2025-12-13,Sportsbet Gawler,6,Chillcuz,WIN,17.00,Lost,0.00,-1.00
2025-12-13,bet365 Stawell,2,Vegas Dancer,WIN,2.00,Lost,0.00,-1.00
2025-12-15,Kempsey,3,Crashmyplaya,WIN,2.20,Lost,0.00,-1.00
2025-12-15,Kempsey,3,Mr Square Pants,WIN,9.50,Lost,0.00,-1.00
2025-12-15,Kempsey,5,Capzinzi,WIN,18.00,Won,18.00,17.00
2025-12-15,Kempsey,6,Dis Is Heaven,WIN,6.00,Won,6.00,5.00
2025-12-15,Orange,3,La Chaparron,WIN,2.50,Lost,0.00,-1.00
2025-12-15,Orange,4,Trapeze Legend,WIN,4.40,Won,4.40,3.40
2025-12-15,Orange,4,Turgenev,WIN,4.80,Lost,0.00,-1.00
2025-12-15,Orange,5,Burrowa,WIN,3.40,Won,3.40,2.40
2025-12-15,Picklebet Park Werribee,1,Insain Harry,WIN,1.50,Won,1.50,0.50
2025-12-15,Picklebet Park Werribee,3,Fierce Fighter,WIN,2.70,Lost,0.00,-1.00
2025-12-15,Picklebet Park Werribee,4,Thinxzo,WIN,11.00,Won,11.00,10.00
2025-12-15,Picklebet Park Werribee,5,Dschingis Prestige,WIN,3.70,Won,3.70,2.70
2025-12-17,Sportsbet Port Lincoln,4,I Need A Drink,WIN,4.40,Won,4.40,3.40
