Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-04-03,Sportsbet Mount Isa,5,Zavaboom,WIN,2.30,Lost,0.00,-2.00
2026-04-04,Ascot,3,Holler Nuff,WIN,1.90,Won,5.70,2.70
2026-04-04,Ascot,7,Beatty,WIN,2.20,Won,6.60,3.60
2026-04-04,Ladbrokes Cannon Park,6,Ruby Chicks,WIN,2.80,Lost,0.00,-2.00
2026-04-10,Launceston,4,Who's In Dev,WIN,2.20,Lost,0.00,-3.00
2026-04-10,Thomas Farms RC Murray Bridge,3,Artistic Angel,WIN,2.35,Won,4.70,2.70
2026-04-13,Sapphire Coast,5,Casino Shaw,WIN,2.30,Won,4.60,2.60
2026-04-15,Warwick Farm,4,De Louviere,WIN,2.05,Lost,0.00,-2.00
2026-04-17,Launceston,8,Cherokee Dancer,WIN,3.50,Won,7.00,5.00
2026-04-18,Home Hill,1,Valadore,WIN,2.50,Lost,0.00,-2.00
2026-04-24,Darwin,1,Bollon,WIN,2.05,Won,6.15,3.15
2026-04-24,Rockhampton,5,Neverenoughlego,WIN,1.95,Won,3.90,1.90
2026-04-25,Ascot,8,Malletier,WIN,2.50,Lost,0.00,-2.00
2026-04-25,Morphettville,7,Getta Good Feeling,WIN,2.90,Lost,0.00,-2.00
2026-04-26,Albany,6,Masamune,WIN,2.70,Won,5.40,3.40
2026-04-26,Hobart,4,Veins Within Rock,WIN,1.70,Lost,0.00,-3.00
2026-04-30,Geraldton,2,Southland,WIN,1.70,Lost,0.00,-3.00
2026-04-30,Geraldton,8,Deep Discretion,WIN,2.00,Lost,0.00,-2.00
2026-04-30,Townsville,4,Russian Mint,WIN,2.90,Lost,0.00,-2.00
2026-04-30,Townsville,6,Line 'Em Up Loui,WIN,2.25,Won,4.50,2.50
2026-04-30,Wyong,8,Easiest Choice,WIN,2.25,Lost,0.00,-2.00
2026-05-03,Devonport Tapeta Synthetic,8,Lady Galadriel,WIN,2.40,Won,4.80,2.80
2026-05-06,Warrnambool,4,Point Nepean,WIN,2.30,Lost,0.00,-2.00
2026-05-09,Kembla Grange,4,Cool Lad,WIN,2.50,Lost,0.00,-3.00
2026-05-09,Morphettville,6,Arran Bay,WIN,2.35,Won,7.05,4.05
2026-05-09,Toowoomba,2,Cryptolini,WIN,2.60,Lost,0.00,-2.00
2026-08-02,Sportsbet Sandown Lakeside,4,Stern Idol,WIN,2.00,Lost,0.00,-2.00
2026-08-09,Casterton,2,Untethered,WIN,3.00,Won,6.00,4.00
