Date,Course,Race,Horse,Win Odds,ML Win Probability,Result,Return Units,Profit Units
2026-09-06,Gundagai,1,Tallingas Avanti,3.00,21.2%,1,3.0,2.0
2026-09-09,Devonport Tapeta Synthetic,5,Thoros Of Myr,3.80,24.7%,3,0.0,-1.0
2026-09-12,Mackay,4,Contemporary,2.80,21.8%,1,2.8,1.7999999999999998
2026-09-12,Rosehill Gardens,3,Appeared,2.20,28.8%,1,2.2,1.2000000000000002
2026-09-13,Northam,1,Great Promise,3.30,20.0%,2,0.0,-1.0
2026-09-15,Sportsbet Bowen,1,Formal Affair,3.10,22.7%,2,0.0,-1.0
2026-09-15,Sportsbet Bowen,3,Lone Force,2.70,22.3%,2,0.0,-1.0
2026-09-15,Wellington,8,Hanuman,2.80,30.1%,1,2.8,1.7999999999999998
2026-09-16,Balaklava,2,Empire Ruler,4.40,21.4%,2,0.0,-1.0
2026-09-18,Townsville,1,Far And Wide,2.40,22.6%,2,0.0,-1.0
2026-09-19,Darwin,2,Order Online,2.45,29.3%,2,0.0,-1.0
2026-09-19,Darwin,2,Tee Galleria,3.70,22.0%,3,0.0,-1.0
2026-09-20,Kalgoorlie,1,Sovereign Crust,3.80,20.9%,1,3.8,2.8
2026-09-20,Ladbrokes Pioneer Park,4,Bahama Bay,2.45,22.5%,6,0.0,-1.0
2026-09-25,Launceston,3,Unfiltered,3.70,20.7%,1,3.7,2.7
