Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-08-20,Mackay,1,Shiny Love,PLACE,1.20,Placed,1.20,0.20
2026-08-20,Mackay,2,Intrepid Lad,PLACE,1.33,Placed,1.33,0.33
2026-08-21,Aquis Beaudesert,4,Detrimental,PLACE,1.30,Placed,1.30,0.30
2026-08-21,Murwillumbah,2,Amplify,PLACE,1.30,Placed,1.30,0.30
2026-08-22,Newcastle,2,Flying Arabesque,PLACE,2.00,Placed,2.00,1.00
2026-08-22,Toowoomba,6,Empress Aspen,PLACE,1.70,Placed,1.70,0.70
2026-08-23,Goulburn,3,Peace Bird,PLACE,2.38,Placed,2.38,1.38
2026-08-23,Kilcoy,4,The Cops,PLACE,2.60,Placed,2.60,1.60
2026-08-24,Tuncurry,1,The Comanche,PLACE,1.53,Lost,0.00,-1.00
2026-08-25,Rockhampton,3,Moochi Starlight,PLACE,2.30,Placed,2.30,1.30
2026-08-26,Canterbury Park,3,Standard Deviation,PLACE,3.30,Placed,3.30,2.30
2026-08-27,Ipswich,6,Nine Mill,PLACE,1.50,Lost,0.00,-1.00
2026-08-28,Ladbrokes Pioneer Park,3,Revolution Rising,PLACE,1.67,Placed,1.67,0.67
2026-08-28,Ladbrokes Pioneer Park,4,Highstrung,PLACE,1.67,Lost,0.00,-1.00
2026-08-29,Eagle Farm,1,Spirit Of Barty,PLACE,1.50,Placed,1.50,0.50
2026-08-29,Kununurra,1,One Last Promise,PLACE,3.30,Placed,3.30,2.30
2026-08-30,Mudgee,2,Vondel,PLACE,1.62,Placed,1.62,0.62
2026-08-30,Wyong,4,The Thorncaster,PLACE,1.40,Placed,1.40,0.40
2026-08-31,Taree,5,Just Shane,PLACE,1.70,Lost,0.00,-1.00
2026-09-01,Picklebet Park Wodonga,6,See You Then,PLACE,4.33,Lost,0.00,-1.00
2026-09-02,Devonport Tapeta Synthetic,8,Coal River,PLACE,1.40,Lost,0.00,-1.00
2026-09-02,Sportsbet Sandown Hillside,3,Greenwich Boy,PLACE,1.57,Lost,0.00,-1.00
2026-09-04,Birdsville,2,Smashing Rosie,PLACE,1.53,Lost,0.00,-1.00
2026-09-04,Birdsville,4,Farnesina,PLACE,2.38,Lost,0.00,-1.00
2026-09-05,Birdsville,5,Miami Vice,PLACE,2.50,Lost,0.00,-1.00
2026-09-05,Kempsey,4,Farraige,PLACE,2.38,Placed,2.38,1.38
2026-09-06,Sunshine Coast,1,Ted Lasso,PLACE,1.40,Lost,0.00,-1.00
2026-09-07,Grafton,3,Righteous,PLACE,1.91,Lost,0.00,-1.00
2026-09-09,Devonport Tapeta Synthetic,9,Cool Heart,PLACE,2.40,Placed,2.40,1.40
2026-09-09,Sportsbet Sandown Hillside,7,Tennessee Bound,PLACE,1.88,Placed,1.88,0.88
2026-09-10,Lismore,1,Sweet September,PLACE,2.88,Lost,0.00,-1.00
2026-09-10,Lismore,5,Constellation,PLACE,1.75,Lost,0.00,-1.00
2026-09-11,Sunshine Coast,1,Durness,PLACE,3.60,Lost,0.00,-1.00
2026-09-12,Griffith,6,See You Then,PLACE,3.60,Lost,0.00,-1.00
2026-09-12,Ladbrokes Pioneer Park,3,Bahama Bay,PLACE,2.40,Placed,2.40,1.40
2026-09-13,Coffs Harbour,2,Raguel,PLACE,1.20,Placed,1.20,0.20
2026-09-13,Northam,1,Great Promise,PLACE,1.73,Placed,1.73,0.73
2026-09-15,Picklebet Park Wodonga,1,Fierce Ruby,PLACE,2.15,Lost,0.00,-1.00
2026-09-15,Sportsbet Bowen,1,The House,PLACE,3.00,Lost,0.00,-1.00
2026-09-16,Balaklava,1,The Obvious Child,PLACE,1.75,Lost,0.00,-1.00
2026-09-16,Balaklava,2,Largs Legacy,PLACE,1.57,Placed,1.57,0.57
2026-09-19,Bowraville,4,Caledonian,PLACE,1.57,Lost,0.00,-1.00
2026-09-19,Darwin,4,Meet Me At The Bar,PLACE,2.05,Lost,0.00,-1.00
2026-09-20,Ladbrokes Pioneer Park,2,Miss Top Gun,PLACE,3.00,Lost,0.00,-1.00
2026-09-20,Nowra,1,Rosary Sister,PLACE,2.60,Placed,2.60,1.60
2026-09-21,Grafton,1,Brass Band,PLACE,1.40,Placed,1.40,0.40
2026-09-21,Grafton,5,Mahuika Maroi,PLACE,2.00,Lost,0.00,-1.00
2026-09-22,Leeton,4,Sundrop,PLACE,2.00,Lost,0.00,-1.00
2026-09-23,Northam,1,Coondle,PLACE,4.00,Lost,0.00,-1.00
