Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-08-25,Rockhampton,1,Another Champers,WIN,1.55,Won,1.55,0.55
2026-08-27,Northam,6,Tag Time,PLACE,1.10,Placed,1.10,0.10
2026-08-28,Gosford,7,Wanda's Spark,PLACE,1.20,Placed,1.20,0.20
2026-08-28,Ladbrokes Geelong,1,Gaelic Kiwi,PLACE,1.30,Lost,0.00,-1.00
2026-08-29,Belmont,8,The Crimson Pirate,PLACE,1.30,Placed,1.30,0.30
2026-08-29,Caulfield,5,Shadhavar,PLACE,1.40,Lost,0.00,-1.00
2026-08-29,Darwin,4,Order Online,PLACE,1.40,Placed,1.40,0.40
2026-08-29,Eagle Farm,1,Howdoyouzou,PLACE,1.53,Placed,1.53,0.53
2026-08-29,Eagle Farm,8,Polyglot,PLACE,1.33,Placed,1.33,0.33
2026-08-29,Rosehill Gardens,3,Aethelwulf,PLACE,1.05,Placed,1.05,0.05
2026-08-29,Rosehill Gardens,8,Blue Door,PLACE,1.20,Placed,1.20,0.20
2026-08-29,Eagle Farm,3,Wrigley Field,PLACE,1.57,Lost,0.00,-1.00
2026-09-01,Scone,1,The Cristal,PLACE,1.20,Placed,1.20,0.20
2026-09-01,Scone,5,Magic Merlin,PLACE,1.30,Placed,1.30,0.30
2026-09-02,Devonport Tapeta Synthetic,1,Azonto,PLACE,1.20,Placed,1.20,0.20
2026-09-02,Devonport Tapeta Synthetic,6,Alkira,PLACE,1.05,Placed,1.05,0.05
2026-09-02,Sportsbet Sandown Hillside,6,Educated,PLACE,1.10,Placed,1.10,0.10
2026-09-03,Mackay,6,The Defender,PLACE,1.10,Placed,1.10,0.10
2026-09-03,Northam,5,Blue Sparx,PLACE,1.33,Placed,1.33,0.33
2026-09-05,Darwin,1,Biden Time,PLACE,1.20,Placed,1.20,0.20
2026-09-05,Darwin,5,Littlebourkestreet,PLACE,1.30,Placed,1.30,0.30
2026-09-05,Eagle Farm,6,Precise Star,PLACE,1.30,Placed,1.30,0.30
2026-09-05,Hawkesbury,3,Oakfield Iowa,PLACE,1.33,Lost,0.00,-1.00
2026-09-09,Belmont,4,Star Martini,PLACE,1.25,Placed,1.25,0.25
2026-09-09,Devonport Tapeta Synthetic,1,Ozonica,PLACE,1.10,Lost,0.00,-1.00
2026-09-09,Ipswich,5,Barrelling,PLACE,1.40,Lost,0.00,-1.00
2026-09-10,Hawkesbury,5,Not On My Watch,PLACE,1.02,Placed,1.02,0.02
2026-09-11,Tuncurry,1,Zous Apollo,PLACE,1.25,Lost,0.00,-1.00
2026-09-12,Doomben,6,Spiethtacular,PLACE,1.25,Placed,1.25,0.25
2026-09-12,Flemington,9,Gold Coast Belle,PLACE,1.25,Lost,0.00,-1.00
2026-09-12,Kembla Grange,1,Legaselli,PLACE,1.25,Placed,1.25,0.25
2026-09-12,Ladbrokes Pioneer Park,2,Stella Bystarlight,PLACE,1.57,Placed,1.57,0.57
2026-09-12,Ladbrokes Pioneer Park,3,Brat,PLACE,1.50,Lost,0.00,-1.00
2026-09-12,Rosehill Gardens,4,Anthracite,PLACE,1.25,Placed,1.25,0.25
2026-09-12,Thangool,5,The Defender,PLACE,1.05,Placed,1.05,0.05
2026-09-13,Northam,1,Spinarella,PLACE,1.53,Lost,0.00,-1.00
2026-09-16,Canterbury Park,2,Saffron Veil,PLACE,1.10,Placed,1.10,0.10
2026-09-16,Caulfield Heath,7,In'kantosstar,PLACE,1.10,Placed,1.10,0.10
2026-09-17,Aquis Beaudesert,3,Certified Copy,PLACE,1.30,Placed,1.30,0.30
2026-09-18,Newcastle,6,Aethelwulf,PLACE,1.02,Placed,1.02,0.02
2026-09-19,Caulfield,6,Bridal Waltz,PLACE,1.20,Placed,1.20,0.20
2026-09-19,Caulfield,7,Lindermann,PLACE,1.20,Lost,0.00,-1.00
2026-09-19,Morphettville Parks,3,Light The Night,PLACE,1.40,Placed,1.40,0.40
2026-09-23,Eagle Farm,2,Maremoto,PLACE,1.17,Placed,1.17,0.17
2026-09-23,Ladbrokes Geelong,2,True Rebel,PLACE,1.02,Placed,1.02,0.02
2026-09-23,Northam,1,Last Stylebender,PLACE,1.40,Placed,1.40,0.40
2026-09-24,Hawkesbury,4,Broadway Street,PLACE,1.30,Lost,0.00,-1.00
2026-09-24,Hawkesbury,7,Flight Of Power,PLACE,1.30,Placed,1.30,0.30
