Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-06-19,Inverell,6,Zou Big Boy,WIN,3.30,Lost,0.00,-1.00
2026-06-20,Darwin,3,Anson Bay,WIN,3.30,Lost,0.00,-1.00
2026-06-23,Mackay,7,Lean Eagle,WIN,2.25,Lost,0.00,-2.00
2026-06-24,Doomben,5,Crash The Party,WIN,1.30,Won,3.90,0.90
2026-06-28,Warrnambool,1,Ardakan,WIN,2.90,Won,2.90,1.90
2026-06-29,Albury,3,Chief Of War,WIN,3.00,Won,3.00,2.00
2026-07-03,Sportsbet-Ballarat Synthetic,7,Prince Marionette,WIN,2.70,Won,2.70,1.70
2026-07-03,Tamworth,1,Lots To Love,WIN,3.10,Lost,0.00,-1.00
2026-07-04,Thomas Farms RC Murray Bridge,3,Orlova,WIN,1.55,Won,4.65,1.65
2026-07-06,Southside Pakenham Synthetic,2,First Regent,WIN,3.10,Won,3.10,2.10
2026-07-07,Muswellbrook,2,Valedor,WIN,1.45,Won,4.35,1.35
2026-07-07,Thomas Farms RC Murray Bridge,3,France's Boy,WIN,3.00,Lost,0.00,-1.00
2026-07-09,Northam,1,Savienne,WIN,1.40,Won,4.20,1.20
2026-07-09,Sale,3,Jimmy Beans,WIN,1.35,Won,4.05,1.05
2026-07-11,Aquis Park Gold Coast,5,Sort Cha Mess,WIN,3.00,Lost,0.00,-1.00
2026-07-11,Doomben,5,Larado,WIN,2.90,Lost,0.00,-1.00
2026-07-16,Ipswich,1,Lady Milan,WIN,1.26,Won,3.78,0.78
2026-07-16,Kembla Grange,6,Aethelwulf,WIN,3.10,Won,3.10,2.10
2026-07-18,Belmont,3,Westbound,WIN,2.25,Lost,0.00,-1.00
2026-07-18,Darwin,4,Bon's Pride,WIN,5.50,Lost,0.00,-1.00
2026-07-18,Darwin,6,Dynamic Theory,WIN,3.20,Lost,0.00,-1.00
2026-07-19,Hobart,6,Momentslikethese,WIN,4.20,Lost,0.00,-1.00
2026-07-19,bet365 Seymour,1,Lift Net,WIN,3.30,Lost,0.00,-1.00
2026-07-20,Blackall,3,Hurtle,WIN,4.40,Lost,0.00,-1.00
2026-07-21,Taree,6,Calypso Rocket,WIN,2.90,Lost,0.00,-1.00
2026-07-21,Warren,3,Media Spin,WIN,1.40,Lost,0.00,-3.00
2026-07-22,Thomas Farms RC Murray Bridge,2,Goodlookin' Guru,WIN,3.20,Lost,0.00,-1.00
2026-07-23,Northam,5,Flash Dancer,WIN,2.80,Won,2.80,1.80
2026-07-25,Mackay,5,Black Eyed Blonde,WIN,1.40,Won,4.20,1.20
2026-07-25,Toowoomba,7,Igotmymindonyou,WIN,1.50,Lost,0.00,-3.00
2026-07-29,Eagle Farm,9,Dust Cloud,WIN,2.70,Won,2.70,1.70
2026-07-30,Bendigo,4,Kandinsky,WIN,3.00,Won,3.00,2.00
2026-08-02,Sportsbet Sandown Lakeside,1,Morryl Moral,WIN,2.90,Lost,0.00,-1.00
2026-08-02,Sportsbet Sandown Lakeside,4,Stern Idol,WIN,2.00,Lost,0.00,-2.00
2026-08-08,Toowoomba,7,Trust In The Rock,WIN,3.10,Lost,0.00,-1.00
2026-08-09,Casterton,2,Untethered,WIN,3.00,Won,6.00,4.00
2026-08-09,Casterton,4,Hughie,WIN,2.60,Won,2.60,1.60
2026-08-11,Sportsbet-Ballarat Synthetic,2,In'kantosstar,WIN,1.35,Won,4.05,1.05
2026-08-11,Sportsbet-Ballarat Synthetic,3,Just Magic,WIN,3.00,Lost,0.00,-1.00
2026-08-11,Sportsbet-Ballarat Synthetic,10,Aka Daka,WIN,3.20,Lost,0.00,-1.00
2026-08-12,Pinjarra Scarpside,7,Lets Take A Chance,WIN,3.20,Won,3.20,2.20
2026-08-14,Gunnedah,6,Heathcliff,WIN,2.15,Lost,0.00,-1.00
2026-08-14,Ladbrokes Geelong,1,Knights Emperor,WIN,3.10,Lost,0.00,-1.00
2026-08-15,Roma,1,Manhattan Thunder,WIN,3.10,Lost,0.00,-1.00
2026-08-16,Sportsbet-Ballarat,1,Bold Soul,WIN,1.30,Won,3.90,0.90
2026-08-16,Sportsbet-Ballarat,2,Bismarck,WIN,3.00,Lost,0.00,-1.00
2026-08-17,Scone,3,Feazabeel,WIN,2.15,Lost,0.00,-1.00
2026-08-18,Grafton,4,Divine Mandate,WIN,3.00,Lost,0.00,-1.00
2026-08-18,Sportsbet-Ballarat Synthetic,4,Saludar,WIN,2.40,Won,2.40,1.40
2026-08-19,Ipswich,1,Moscow Mule,WIN,1.65,Lost,0.00,-2.00
2026-08-21,Murwillumbah,1,Occupation,WIN,3.00,Won,3.00,2.00
2026-08-21,Murwillumbah,4,Oakfield Duke,WIN,3.90,Lost,0.00,-1.00
2026-08-22,Newcastle,1,Harvey's Turn,WIN,8.50,Lost,0.00,-1.00
2026-08-22,Port Macquarie,1,Narukami,WIN,4.80,Won,4.80,3.80
2026-08-22,Toowoomba,6,Empress Aspen,WIN,3.00,Lost,0.00,-1.00
2026-08-23,Goulburn,8,Brucey,WIN,6.00,Lost,0.00,-1.00
2026-08-25,Rockhampton,1,La Premiere,WIN,3.00,Lost,0.00,-1.00
2026-08-29,Morphettville,7,The Cosmic One,WIN,4.80,Won,4.80,3.80
2026-09-02,Devonport Tapeta Synthetic,2,Within Sight,WIN,8.50,Lost,0.00,-1.00
2026-09-05,Birdsville,2,Rhesus,WIN,4.80,Won,4.80,3.80
2026-09-15,Sportsbet Bowen,1,The House,WIN,7.00,Lost,0.00,-1.00
