Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-06-19,Inverell,6,Zou Big Boy,EACH WAY,W 3.30 / P 1.90,Placed,1.90,-0.10
2026-06-20,Darwin,3,Anson Bay,EACH WAY,W 3.30 / P 1.80,Placed,1.80,-0.20
2026-07-06,Southside Pakenham Synthetic,2,First Regent,EACH WAY,W 3.10 / P 1.45,Won & Placed,4.55,2.55
2026-07-07,Thomas Farms RC Murray Bridge,3,France's Boy,EACH WAY,W 3.00 / P 1.45,Placed,1.45,-0.55
2026-07-11,Aquis Park Gold Coast,5,Sort Cha Mess,EACH WAY,W 3.00 / P 1.40,Placed,1.40,-0.60
2026-07-18,Darwin,6,Dynamic Theory,EACH WAY,W 3.20 / P 1.35,Placed,1.35,-0.65
2026-08-08,Toowoomba,7,Trust In The Rock,EACH WAY,W 3.10 / P 1.50,Placed,1.50,-0.50
2026-08-09,Casterton,2,Untethered,EACH WAY,W 3.00 / P 1.40,Won & Placed,4.40,2.40
2026-08-15,Roma,1,Manhattan Thunder,EACH WAY,W 3.10 / P 1.55,Lost,0.00,-2.00
2026-08-16,Sportsbet-Ballarat,2,Bismarck,EACH WAY,W 3.00 / P 1.40,Lost,0.00,-2.00
2026-08-18,Grafton,4,Divine Mandate,EACH WAY,W 3.00 / P 1.45,Lost,0.00,-2.00
2026-08-21,Murwillumbah,4,Oakfield Duke,EACH WAY,W 3.90 / P 1.60,Placed,1.60,-0.40
2026-08-22,Port Macquarie,1,Narukami,EACH WAY,W 4.80 / P 1.91,Won & Placed,6.71,4.71
2026-08-29,Morphettville,7,The Cosmic One,EACH WAY,W 4.80 / P 1.90,Won & Placed,6.70,4.70
2026-09-05,Birdsville,2,Rhesus,EACH WAY,W 4.80 / P 2.30,Won & Placed,7.10,5.10
2026-09-15,Sportsbet Bowen,1,The House,EACH WAY,W 7.00 / P 3.00,Lost,0.00,-2.00
