race,runner,odds,result,conviction
Aquis Beaudesert R1,#8 Flaming Genesis,W4.80 / P2.25,4,
Aquis Beaudesert R2,#8 Zoubuca Shots,W4.00 / P1.67,109,
Aquis Beaudesert R3,#5 The Grand Duchy,W4.50 / P1.60,5,
Aquis Beaudesert R4,#1 Detrimental,W1.85 / P1.24,WON,
Aquis Beaudesert R5,#6 Straight Blast,W2.70 / P1.25,4,
Aquis Beaudesert R6,#1 Standlee,W1.95 / P1.18,WON,
Aquis Beaudesert R7,#1 Exceed Perfection,W1.90 / P1.20,WON,
Aquis Beaudesert R8,#16 Fierce Luva,W10.00 / P2.90,8,
Canberra Acton R1,#2 Bulla Vinaka,W2.70 / P1.55,3,
Canberra Acton R2,#2 Star Empire,W3.00 / P1.50,WON,
Canberra Acton R3,#6 Deeply,W2.05 / P1.20,WON,
Canberra Acton R4,#7 Shes Xee,W15.00 / P2.90,6,
Canberra Acton R5,#2 Bombelleistic,W4.50 / P1.62,6,founders-pick
Canberra Acton R6,#7 Helluva Soiree,W101.00 / P17.00,10,
Canberra Acton R7,#2 Must Be Sain,W6.00 / P1.85,4,
Murtoa R1,#5 Sitar,W6.50 / P2.60,4,
Murtoa R2,#4 Numbersneverseen,W2.35 / P1.26,4,
Murtoa R3,#1 Bold Jester,W3.30 / P1.40,2,
Murtoa R4,#6 Bourdeto,W0.00 / P0.00,109,
Murtoa R5,#7 Ride Like Michelle,W0.00 / P0.00,109,
Murtoa R6,#3 Fonn Power,W4.00 / P1.75,4,
Murtoa R7,#6 Isalot,W7.00 / P2.15,5,
Murtoa R8,#5 Bakersbend,W5.00 / P1.95,7,
Murwillumbah R1,#2 Occupation,W1.70 / P1.14,WON,founders-pick
Murwillumbah R2,#2 Amplify,W3.20 / P1.53,WON,
Murwillumbah R3,#1 Think Like Paddy,W2.40 / P1.45,WON,
Murwillumbah R4,#2 Oakfield Duke,W3.60 / P1.50,2,
Murwillumbah R5,#1 Alleze,W3.40 / P1.50,11,
Murwillumbah R6,#2 Checks'n'balances,W27.00 / P3.80,7,
Murwillumbah R7,#1 Loch Eagle,W15.00 / P3.70,8,
Murwillumbah R8,#3 Till Dusk,W2.90 / P1.40,3,
Sale R1,#8 Wolves' Den,W4.20 / P1.70,8,
Sale R2,#15 Manahi,W23.00 / P4.20,11,
Sale R3,#4 He's Regal,W2.45 / P1.28,2,
Sale R4,#12 Pudsy's Girl,W20.00 / P4.33,10,
Sale R5,#1 Bring The Thunder,W2.80 / P1.40,5,
Sale R6,#1 Mainmankash,W2.50 / P1.28,WON,founders-pick
Sale R7,#7 Illuminance,W9.00 / P2.70,3,
Sale R8,#11 Angland Lass,W5.00 / P1.80,6,
Sale R9,#3 Placentia Bay,W4.50 / P1.95,4,
