race,runner,odds,result,note
Belmont R2,#4 Pin Deep,W2.90 / P1.67,3,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Caulfield R4,#2 Duchess Zou,W3.50 / P1.50,8,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Caulfield R4,#8 He'll Rip,W4.80 / P1.73,7,"Form, Fit, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Doomben R2,#3 Courthezon,W5.00 / P1.70,3,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Doomben R2,#4 Metal Boss,W5.50 / P1.80,2,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Doomben R3,#1 Firm Agreement,W4.50 / P2.25,4,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Doomben R4,#12 Lockyer,W2.50 / P1.20,WON,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Katherine R1,#3 Luna Field,W3.90 / P1.91,100,"Form, Fit, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Katherine R2,#1 Galaxy General,W3.50 / P1.50,WON,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Katherine R5,#2 I Loverain,W2.60 / P1.30,4,"Form, Fit, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Katherine R6,#4 The Accelator,W4.80 / P1.70,WON,"Form, Fit, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Morphettville Parks R1,#3 Harsh,W2.00 / P1.13,WON,"Form, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Morphettville Parks R2,#9 Super Wonder,W2.45 / P1.30,WON,"Form, Fit, Distance, Track, Jockey, Trainer, Barrier, Tempo"
Roma R4,#6 Pontoon Prince,W2.80 / P1.33,2,"Form, Fit, Distance, Track, Trainer, Barrier, Tempo"
