race,runner,odds,result,tier
Grafton R1,#2 Brass Band,W2.50 / P1.45,WON,
Grafton R2,#10 Scrambling,W4.20 / P1.40,2,
Grafton R3,#3 Interactive,W8.00 / P2.30,8,
Grafton R4,#5 Custo,W2.70 / P1.30,WON,
Grafton R5,#5 Mahuika Maroi,W5.00 / P1.80,10,
Grafton R6,#3 Wishful Thinker,W8.00 / P2.40,7,
Grafton R7,#1 Referees,W2.45 / P1.30,4,
Narromine R1,#3 Quaint,W3.50 / P1.30,7,
Narromine R2,#3 Snow Dog,W2.80 / P1.40,WON,
Narromine R3,#4 The Beast,W2.80 / P1.35,2,
Narromine R4,#2 Proclivity,W5.00 / P1.75,5,
Narromine R5,#13 Adviser,W19.00 / P4.00,8,
Narromine R7,#4 Smart Scud,W8.50 / P2.80,4,
Warrnambool R1,#8 Massalia,W11.00 / P2.60,4,
Warrnambool R2,#2 Burrow,W26.00 / P4.40,10,
Warrnambool R3,#8 Blue Catchu,W4.20 / P1.95,7,
Warrnambool R4,#2 It's A Yes,W1.90 / P1.24,2,
Warrnambool R5,#6 Russian Into It,W6.00 / P1.70,10,
Warrnambool R6,#1 Nicereine,W6.50 / P2.05,8,
Warrnambool R7,#2 Magnetic Chess,W2.30 / P1.24,8,
Warrnambool R8,#5 Johnny Be Good,W9.50 / P2.90,11,
